Nosferatu,1922,"Skull, Coffin, Moon, Demon, No Sound, German Flag",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,F.W. Murnau,"Max Schreck, Gustav von Wangenheim, Greta Schröder",80,https://www.youtube.com/watch?v=FC6jFoYm3xs,http://res.cloudinary.com/dgtihmi68/image/upload/v1504902326/nosferatu_uijai1.jpg
Night of the Living Dead,1968,"Skull, Coffin",There is panic throughout the nation as the dead suddenly come back to life. The film follows a group of characters who barricade themselves in an old farmhouse in an attempt to remain safe from these flesh eating monsters.,George A. Romero,"Duane Jones, Judith O'Dea",95,https://www.youtube.com/watch?v=H91BxkBXttE,http://res.cloudinary.com/dgtihmi68/image/upload/v1504915980/nightlivingdead_szway2.jpg
The Phantom of the Opera,1925,"No Sound, Skull, Ghost","A mad, disfigured composer seeks love with a lovely young opera singer.",Rupert Julian,"Lon Chaney, Mary Philbin, Norman Kerry, Arthur Edward Carewe",106,https://www.youtube.com/watch?v=aI0tWZc8gP4,http://res.cloudinary.com/dgtihmi68/image/upload/v1504916144/The_Phantom_of_the_Opera__1925_film_oqinv3.jpg
His Girl Friday,1940,"Laughing with tears, Dress, Tophat, Shirt and tie, Newspaper",A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,Howard Hawks,"Cary Grant, Rosalind Russell, Ralph Bellamy",91,https://www.youtube.com/watch?v=-kpXX501COc,http://res.cloudinary.com/dgtihmi68/image/upload/v1504916258/HisGirlFriday_kjxp1l.jpg
The Last Man on Earth,1964,"Skull, Sad, Male Doctor, Hospital mask, Coffin, Syringe","When a disease turns all of humanity into the living dead, the last man on earth becomes a reluctant vampire hunter.","Ubaldo Ragona, Sidney Salkow",Vincent Price,76,https://www.youtube.com/watch?v=ZuPgXDWMB-Q,http://res.cloudinary.com/dgtihmi68/image/upload/v1504916382/TheLastManonEarth_g0send.jpg
The Hunchback of Notre Dame,1923,"Heart eyes, Skull, No sound, French flag","In fifteenth century Paris, the brother of the archdeacon plots with the gypsy king to foment a peasant revolt. Meanwhile, a freakish hunchback falls in love with the gypsy queen.",Wallace Worsley,"Lon Chaney, Patsy Ruth Miller",108,https://www.youtube.com/watch?v=--WcYK0VQh8,http://res.cloudinary.com/dgtihmi68/image/upload/v1504916449/HunchbackofNotreDame_bofqak.jpg
Charade,1963,"Heart eyes, Laughing with tears, Magnifying glass, Question mark, French flag, Gun",Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Who can she trust?,Stanely Donen,"Cary Grant, Audrey Hepburn",113,https://www.youtube.com/watch?v=8iVjShwbjFQ,http://res.cloudinary.com/dgtihmi68/image/upload/v1504916534/charade_dxrkzu.jpg
The Little Shop of Horrors,1960,"Laughing with tears, Skull, Plant, Flower","A clumsy young man nurtures a plant and discovers that it's carnivorous, forcing him to kill to feed it.",Roger Corman,"Jack Nicholson, Jonathan Haze, Jackie Joseph, Mel Welles",71,https://www.youtube.com/watch?v=xaFTZRTDOJ8,http://res.cloudinary.com/dgtihmi68/image/upload/v1504916596/littleshopofhorrors_mkci6b.jpg
McLintock!,1963,"Cowboy, Laughing with tears, Money face","Wealthy rancher G.W. McLintock uses his power and influence in the territory to keep the peace between farmers, ranchers, land-grabbers, Indians and corrupt government officials.",Andrew V. McLaglen,"John Wayne, Maureen O'Hara",124,https://www.youtube.com/watch?v=X5kBi_7wnHE,http://res.cloudinary.com/dgtihmi68/image/upload/v1504916651/mclintock_ynlhqy.jpg
Reefer Madness,1936,"Clover, Cigarette, Skull and crossbones, Poop","Cautionary tale features a fictionalized and highly exaggerated take on the use of marijuana. A trio of drug dealers lead innocent teenagers to become addicted to ""reefer"" cigarettes by holding wild parties with jazz music.",Louis J. Gasnier,"Dorothy Short, Kenneth Craig, Carlton Young",65,https://www.youtube.com/watch?v=ATAd4YUBrAE,http://res.cloudinary.com/dgtihmi68/image/upload/v1504916747/reefermadness_mwnepe.jpg
The General,1926,"Laughing with tears, No Sound, Train, Train track, Bridge, ","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","Buster Keaton, Clyde Bruckman","Buster Keaton, Marion Mack",78,https://www.youtube.com/watch?v=x2X58JcO9G4,http://res.cloudinary.com/dgtihmi68/image/upload/v1504916798/thegeneral_aatlje.jpg
House on Haunted Hill,1959,"Skull, Rundown house, Mountain, Money, Coffin","A millionaire offers $10,000 to five people who agree to be locked in a large, spooky, rented house overnight with him and his wife.",William Castle,"Vincent Price, Carol Ohmart, Richard Long",74,https://www.youtube.com/watch?v=OwhfqgzsuVU,http://res.cloudinary.com/dgtihmi68/image/upload/v1504916850/houseonhauntedhill_seorca.jpg
Plan 9 From Outer Space,1959,"Skull, Astronaut, Rocketship, Alien, Poop",Aliens resurrect dead humans as zombies and vampires to stop humanity from creating the Solaranite (a sort of sun-driven bomb).,Ed Wood,"Bela Lugosi, Vampira, Lyle Talbot",78,https://www.youtube.com/watch?v=QFwlpW0Ya2Y,http://res.cloudinary.com/dgtihmi68/image/upload/v1504916925/plan9_i0l4dq.jpg
White Zombie,1932,"Skull, Green sick face, Island, Haitian flag","A young man turns to a witch doctor to lure the woman he loves away from her fiancé, but instead turns her into a zombie slave.",Victor Halperin,"Bela Lugosi, Madge Bellamy, Joseph Cawthorn",66,https://www.youtube.com/watch?v=vd88ogGoBmk,http://res.cloudinary.com/dgtihmi68/image/upload/v1504916995/whitezombie_jzzngt.jpg
