Nosferatu,1922,"Classic, Horror",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,F.W. Murnau,"Max Schreck, Gustav von Wangenheim, Greta Schröder",80,https://www.youtube.com/watch?v=FC6jFoYm3xs
Night of the Living Dead,1968,Horror,There is panic throughout the nation as the dead suddenly come back to life. The film follows a group of characters who barricade themselves in an old farmhouse in an attempt to remain safe from these flesh eating monsters.,George A. Romero,"Duane Jones, Judith O'Dea",95,https://www.youtube.com/watch?v=H91BxkBXttE
The Phantom of the Opera,1925,"Silent, Horror","A mad, disfigured composer seeks love with a lovely young opera singer.",Rupert Julian,"Lon Chaney, Mary Philbin, Norman Kerry, Arthur Edward Carewe",106,https://www.youtube.com/watch?v=aI0tWZc8gP4
His Girl Friday,1940,Comedy,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,Howard Hawks,"Cary Grant, Rosalind Russell, Ralph Bellamy",91,https://www.youtube.com/watch?v=-kpXX501COc
The Last Man on Earth,1964,"Horror, Sci-Fi","When a disease turns all of humanity into the living dead, the last man on earth becomes a reluctant vampire hunter.","Ubaldo Ragona, Sidney Salkow",Vincent Price,76,https://www.youtube.com/watch?v=ZuPgXDWMB-Q
The Hunchback of Notre Dame,1923,"Romance, Drama, Horror, Silent","In fifteenth century Paris, the brother of the archdeacon plots with the gypsy king to foment a peasant revolt. Meanwhile, a freakish hunchback falls in love with the gypsy queen.",Wallace Worsley,"Lon Chaney, Patsy Ruth Miller",108,https://www.youtube.com/watch?v=--WcYK0VQh8
Charade,1963,"Romance, Comedy, Mystery",Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Who can she trust?,Stanely Donen,"Cary Grant, Audrey Hepburn",113,https://www.youtube.com/watch?v=8iVjShwbjFQ
The Little Shop of Horrors,1960,"Comedy, Horror","A clumsy young man nurtures a plant and discovers that it's carnivorous, forcing him to kill to feed it.",Roger Corman,"Jack Nicholson, Jonathan Haze, Jackie Joseph, Mel Welles",71,https://www.youtube.com/watch?v=xaFTZRTDOJ8
McLintock!,1963,"Western, Comedy","Wealthy rancher G.W. McLintock uses his power and influence in the territory to keep the peace between farmers, ranchers, land-grabbers, Indians and corrupt government officials.",Andrew V. McLaglen,"John Wayne, Maureen O'Hara",124,https://www.youtube.com/watch?v=X5kBi_7wnHE
Reefer Madness,1936,Propaganda,"Cautionary tale features a fictionalized and highly exaggerated take on the use of marijuana. A trio of drug dealers lead innocent teenagers to become addicted to ""reefer"" cigarettes by holding wild parties with jazz music.",Louis J. Gasnier,,65,https://www.youtube.com/watch?v=ATAd4YUBrAE
The General,1926,"Comedy, Silent","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.","Buster Keaton, Clyde Bruckman","Buster Keaton, Marion Mack",78,https://www.youtube.com/watch?v=x2X58JcO9G4
House on Haunted Hill,1959,Horror,"A millionaire offers $10,000 to five people who agree to be locked in a large, spooky, rented house overnight with him and his wife.",William Castle,"Vincent Price, Carol Ohmart, Richard Long",74,https://www.youtube.com/watch?v=OwhfqgzsuVU
Plan 9 From Outer Space,1959,"Horror, Sci-Fi",Aliens resurrect dead humans as zombies and vampires to stop humanity from creating the Solaranite (a sort of sun-driven bomb).,Ed Wood,"Bela Lugosi, Vampira, Lyle Talbot",78,https://www.youtube.com/watch?v=QFwlpW0Ya2Y
White Zombie,1932,Horror,"A young man turns to a witch doctor to lure the woman he loves away from her fiancé, but instead turns her into a zombie slave.",Victor Halperin,"Bela Lugosi, Madge Bellamy, Joseph Cawthorn",66,https://www.youtube.com/watch?v=vd88ogGoBmk
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Riddick,2013,"Sci-Fi, Action, Horror","Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past.",David Twohy,"Vin Diesel, Dave Bautista",113,https://www.youtube.com/watch?v=Pa2zX-T29js
The Descent,2005,Horror,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",Neil Marshall,,99,https://www.youtube.com/watch?v=zxcAfnfJSaI
Scary Movie 5,2013,Comedy,"A couple begin to experience some unusual activity after bringing their lost nieces and nephew home. With the help of home-surveillance cameras, they learn they're being stalked by a nefarious demon.",Malcolm D. Lee,Ashley Tisdale,88,https://www.youtube.com/watch?v=ccr2m18kRKw
What Happens In Vegas,2008,"Comedy, Romance","A man and a woman are compelled, for legal reasons, to live life as a couple for a limited period of time. At stake is a large amount of money.",Tom Vaughn,"Ashton Kutcher, Cameron Diaz",94,https://www.youtube.com/watch?v=1moBROUdsHs
